id,nombre,estado,tipo,intereses_actuales,se_queda_con_comida,motivo
160,Piedras Negras,Coahuila,ciudad_principal,comida|cultura,NO,
10,Saltillo,Coahuila,ciudad_principal,cultura|comida,NO,
107,Torreón,Coahuila,ciudad_principal,cultura|comida,NO,
62,Comala,Colima,pueblo_magico,comida|cultura,NO,
284,Quesería,Colima,ciudad_principal,comida|cultura,NO,
167,Tecomán,Colima,ciudad_principal,comida|cultura,NO,
285,Canatlán,Durango,ciudad_principal,naturaleza|comida,NO,
12,Durango,Durango,ciudad_principal,cultura|comida,NO,
169,Gómez Palacio,Durango,ciudad_principal,cultura|comida,NO,
287,Vicente Guerrero,Durango,ciudad_principal,comida|cultura,NO,
110,Celaya,Guanajuato,ciudad_principal,comida|cultura,NO,
124,Centro Histórico de León,Guanajuato,sitio_turistico,cultura|comida,NO,
56,Dolores Hidalgo,Guanajuato,pueblo_magico,cultura|comida,NO,
13,Guanajuato,Guanajuato,ciudad_principal,cultura|comida,NO,
109,Irapuato,Guanajuato,ciudad_principal,comida|cultura,NO,
14,León,Guanajuato,ciudad_principal,cultura|comida,NO,
44,San Miguel de Allende,Guanajuato,pueblo_magico,cultura|comida,NO,
125,Zona Piel y Calzado de León,Guanajuato,sitio_turistico,cultura|comida,NO,
178,Chilapa de Álvarez,Guerrero,ciudad_principal,cultura|comida,NO,
15,Chilpancingo,Guerrero,ciudad_principal,cultura|comida,NO,
17,Pachuca,Hidalgo,ciudad_principal,cultura|comida,NO,
78,Real del Monte,Hidalgo,pueblo_magico,comida|cultura,NO,
183,Zimapán,Hidalgo,pueblo_magico,comida|cultura,NO,
130,Centro Histórico de Guadalajara,Jalisco,sitio_turistico,cultura|comida,NO,
79,Lagos de Moreno,Jalisco,pueblo_magico,cultura|comida,NO,
42,Tequila,Jalisco,pueblo_magico,comida|cultura,NO,
112,Zapopan,Jalisco,ciudad_principal,cultura|comida,NO,
188,Metepec,México,sitio_turistico,cultura|comida,NO,
20,Toluca,México,ciudad_principal,naturaleza|comida,NO,
21,Morelia,Michoacán,ciudad_principal,cultura|comida,NO,
113,Uruapan,Michoacán,ciudad_principal,naturaleza|comida,NO,
299,Zamora de Hidalgo,Michoacán,ciudad_principal,comida|cultura,NO,
206,Linares,Nuevo León,ciudad_principal,comida|cultura,NO,
307,Montemorelos,Nuevo León,ciudad_principal,comida|cultura,NO,
207,Hierve el Agua,Oaxaca,sitio_turistico,naturaleza|comida,NO,
211,Teotitlán del Valle,Oaxaca,sitio_turistico,cultura|comida,NO,
311,Tlacolula de Matamoros,Oaxaca,ciudad_principal,comida|cultura,NO,
214,Izúcar de Matamoros,Puebla,ciudad_principal,cultura|comida,NO,
315,Tehuacán,Puebla,ciudad_principal,comida|cultura,NO,
90,Zacatlán,Puebla,pueblo_magico,naturaleza|comida|cultura,NO,
27,Querétaro,Querétaro,ciudad_principal,cultura|comida,NO,
216,San Juan del Río,Querétaro,ciudad_principal,cultura|comida,NO,
91,Tequisquiapan,Querétaro,pueblo_magico,descanso|comida|cultura,NO,
30,San Luis Potosí,San Luis Potosí,ciudad_principal,cultura|comida,NO,
31,Culiacán,Sinaloa,ciudad_principal,cultura|comida,NO,
328,Escuinapa,Sinaloa,ciudad_principal,comida|cultura,NO,
326,Guasave,Sinaloa,ciudad_principal,comida|cultura,NO,
331,Caborca,Sonora,ciudad_principal,comida|cultura,NO,
33,Hermosillo,Sonora,ciudad_principal,cultura|comida,NO,
231,Nogales,Sonora,ciudad_principal,cultura|comida,NO,
239,Comalcalco,Tabasco,ciudad_principal,comida|cultura,NO,
335,Jalpa de Méndez,Tabasco,ciudad_principal,comida|cultura,NO,
336,Ciudad Mante,Tamaulipas,ciudad_principal,comida|cultura,NO,
242,Matamoros,Tamaulipas,ciudad_principal,cultura|comida,NO,
241,Nuevo Laredo,Tamaulipas,ciudad_principal,comida|cultura,NO,
121,Reynosa,Tamaulipas,ciudad_principal,cultura|comida,NO,
97,Tula,Tamaulipas,pueblo_magico,comida|cultura,NO,
98,Huamantla,Tlaxcala,pueblo_magico,cultura|comida,NO,
340,Zacatelco,Tlaxcala,ciudad_principal,comida|cultura,NO,
57,Coatepec,Veracruz,pueblo_magico,naturaleza|comida,NO,
122,Córdoba,Veracruz,ciudad_principal,comida|cultura,NO,
99,Papantla,Veracruz,pueblo_magico,comida|cultura,NO,
38,Veracruz,Veracruz,ciudad_principal,playas|comida|cultura,NO,
37,Xalapa,Veracruz,ciudad_principal,naturaleza|comida|cultura,NO,
100,Xico,Veracruz,pueblo_magico,naturaleza|comida,NO,
54,Izamal,Yucatán,pueblo_magico,cultura|comida,NO,
343,Motul,Yucatán,ciudad_principal,comida|cultura,NO,
342,Ticul,Yucatán,ciudad_principal,comida|cultura,NO,
258,Fresnillo,Zacatecas,ciudad_principal,cultura|comida,NO,
101,Jerez,Zacatecas,pueblo_magico,cultura|comida,NO,
40,Zacatecas,Zacatecas,ciudad_principal,cultura|comida,NO,
